date,code,open,high,low,close,preclose,volume,amount,pctChg,label,UpOrDown
2008-06-17,sh.601958,18.1300,18.3400,17.0100,17.1800,18.1200,14169722,250341766.0000,-5.187641,HL,Down
2008-06-18,sh.601958,17.1500,18.7900,16.8000,18.7000,17.1800,26302002,474403197.0000,8.847500,LH,Up
2008-06-19,sh.601958,18.3500,18.3500,16.8300,16.8300,18.7000,22016806,386029286.0000,-10.000000,LL,Down
2008-06-20,sh.601958,17.0800,18.2000,16.2000,17.4000,16.8300,22090077,383527657.0000,3.386807,HH,Up
2008-06-23,sh.601958,17.0800,17.8700,16.7800,17.4000,17.4000,13493676,233426827.0000,0.000000,LH,Smooth
2008-06-24,sh.601958,17.1900,18.1300,17.0200,17.8600,17.4000,14683536,260796591.0000,2.643684,LH,Up
2008-06-25,sh.601958,17.8000,18.8200,17.6600,18.5400,17.8600,19571791,360813188.0000,3.807392,LH,Up
2008-06-26,sh.601958,18.5500,19.5000,17.9800,18.8900,18.5400,31238962,583263924.0000,1.887802,HH,Up
2008-06-27,sh.601958,18.1800,18.4800,17.0800,17.2900,18.8900,24448619,435039364.0000,-8.470082,LL,Down
2008-06-30,sh.601958,17.0800,17.4700,16.7000,17.0200,17.2900,11256030,191983842.0000,-1.561599,LL,Down
2008-07-01,sh.601958,17.1000,17.4800,16.6600,17.1900,17.0200,11991566,204627794.0000,0.998825,HH,Up
2008-07-02,sh.601958,17.2000,17.9800,17.1000,17.4700,17.1900,13369204,235042919.0000,1.628847,HH,Up
2008-07-03,sh.601958,17.2600,18.7400,17.0100,18.2700,17.4700,22666933,410142815.0000,4.579286,LH,Up
2008-07-04,sh.601958,18.2000,18.3600,17.4800,17.7200,18.2700,17282027,308836122.0000,-3.010406,LL,Down
2008-07-07,sh.601958,17.7600,18.7600,17.7600,18.6700,17.7200,19859675,366450305.0000,5.361178,HH,Up
2008-07-08,sh.601958,18.7800,19.1500,18.2800,18.6400,18.6700,20659399,387098074.0000,-0.160689,HL,Down
2008-07-09,sh.601958,18.6800,19.6000,18.4200,19.4600,18.6400,34176266,652191327.0000,4.399140,HH,Up
2008-07-10,sh.601958,19.0000,19.2800,18.5100,18.5700,19.4600,28571283,541292485.0000,-4.573481,LL,Down
2008-07-11,sh.601958,18.4600,18.9000,18.1800,18.4400,18.5700,14233158,263210919.0000,-0.700049,LL,Down
2008-07-14,sh.601958,18.2500,18.5800,18.2000,18.3900,18.4400,9947958,182895635.0000,-0.271156,LH,Down
2008-07-15,sh.601958,18.4900,18.6900,17.4200,17.4800,18.3900,16000564,286783006.0000,-4.948341,HL,Down
2008-07-16,sh.601958,17.3000,17.3800,16.6700,16.9200,17.4800,13644482,231378193.0000,-3.203658,LL,Down
2008-07-17,sh.601958,16.5700,17.7800,16.2900,17.4700,16.9200,105977627,1806225333.0000,3.250587,LH,Up
2008-07-18,sh.601958,17.2000,17.5700,16.5500,17.3000,17.4700,52842325,901081911.0000,-0.973097,LH,Down
2008-07-21,sh.601958,17.3300,18.0700,17.1300,17.8300,17.3000,45326559,799474637.0000,3.063588,HH,Up
2008-07-22,sh.601958,18.1200,19.6100,18.0600,18.7100,17.8300,80861555,1538525666.0000,4.935497,HH,Up
2008-07-23,sh.601958,18.5000,18.9500,18.4500,18.7000,18.7100,39015954,728498781.0000,-0.053438,LH,Down
2008-07-24,sh.601958,18.8200,19.0800,18.5100,18.8500,18.7000,33371188,628876700.0000,0.802137,HH,Up
2008-07-25,sh.601958,18.7000,18.7300,18.2500,18.3200,18.8500,29377715,541422986.0000,-2.811675,LL,Down
2008-07-28,sh.601958,18.5000,19.0700,18.4200,18.5700,18.3200,21178394,396599526.0000,1.364629,HH,Up
2008-07-29,sh.601958,18.3000,18.4800,17.7700,17.8200,18.5700,25817142,466174425.0000,-4.038773,LL,Down
2008-07-30,sh.601958,18.1700,18.2900,17.5500,17.7800,17.8200,15432895,276801996.0000,-0.224461,HL,Down
2008-07-31,sh.601958,17.9800,18.1900,17.6000,17.6700,17.7800,21176190,378452205.0000,-0.618676,HL,Down
2008-08-01,sh.601958,17.6000,17.8600,16.9500,17.7100,17.6700,22410131,389884556.0000,0.226400,LH,Up
2008-08-04,sh.601958,17.5000,17.5700,16.8900,16.9300,17.7100,13749675,236340583.0000,-4.404300,LL,Down
2008-08-05,sh.601958,17.0000,17.1700,16.7300,16.9300,16.9300,12920875,218579916.0000,0.000000,HL,Smooth
2008-08-06,sh.601958,17.0200,17.1000,16.4700,16.7700,16.9300,13019543,218070686.0000,-0.945100,HL,Down
2008-08-07,sh.601958,16.7500,16.8900,16.2600,16.4900,16.7700,14459388,238987793.0000,-1.669600,LL,Down
2008-08-08,sh.601958,16.5000,16.6700,15.1800,15.2800,16.4900,27879728,441414923.0000,-7.337800,HL,Down
2008-08-11,sh.601958,15.2500,15.2500,13.7500,13.7500,15.2800,27673441,394705981.0000,-10.013100,LL,Down
2008-08-12,sh.601958,13.5200,14.2400,13.4100,13.9100,13.7500,18848636,261928676.0000,1.163600,LH,Up
2008-08-13,sh.601958,13.7500,14.4500,13.3000,14.1600,13.9100,25638260,357428605.0000,1.797300,LH,Up
2008-08-14,sh.601958,14.0000,14.2000,13.8000,13.8200,14.1600,12864866,179609743.0000,-2.401100,LL,Down
2008-08-15,sh.601958,13.8000,14.3000,13.5200,13.9000,13.8200,15552815,217869633.0000,0.578900,LH,Up
2008-08-18,sh.601958,13.9200,13.9200,12.5100,12.5200,13.9000,18858240,246679225.0000,-9.928100,HL,Down
2008-08-19,sh.601958,12.2900,12.8700,12.1800,12.8100,12.5200,14027119,177049413.0000,2.316300,LH,Up
2008-08-20,sh.601958,12.5900,14.0900,12.3600,14.0900,12.8100,25722207,350040252.0000,9.992200,LH,Up
2008-08-21,sh.601958,13.9000,14.3500,13.4400,13.5600,14.0900,26886746,372945958.0000,-3.761500,LL,Down
2008-08-22,sh.601958,13.4100,13.6800,12.8800,13.2100,13.5600,15810622,209204626.0000,-2.581100,LL,Down
2008-08-25,sh.601958,13.2900,13.3400,12.8100,12.9800,13.2100,9248857,121361551.0000,-1.741100,HL,Down
2008-08-26,sh.601958,12.7300,13.1400,12.3000,12.5200,12.9800,14860301,187523370.0000,-3.543900,LL,Down
2008-08-27,sh.601958,12.4400,12.9300,12.1700,12.6300,12.5200,13392517,168709680.0000,0.878600,LH,Up
2008-08-28,sh.601958,12.6500,12.9500,12.4300,12.7800,12.6300,10031236,127878894.0000,1.187600,HH,Up
2008-08-29,sh.601958,12.9000,13.3900,12.7400,13.1700,12.7800,15079432,197495288.0000,3.051600,HH,Up
2008-09-01,sh.601958,13.0000,13.0800,12.4300,12.4800,13.1700,10213914,129423243.0000,-5.239200,LL,Down
2008-09-02,sh.601958,12.4500,12.6300,12.1900,12.4800,12.4800,8710009,107853421.0000,0.000000,LH,Smooth
2008-09-03,sh.601958,12.4400,12.5400,12.0100,12.1400,12.4800,13551203,164566214.0000,-2.724400,LL,Down
2008-09-04,sh.601958,12.1600,12.5900,12.0800,12.3600,12.1400,10261918,126632379.0000,1.812200,HH,Up
2008-09-05,sh.601958,11.8500,12.0600,11.6500,11.6900,12.3600,14541658,172138566.0000,-5.420700,LL,Down
2008-09-08,sh.601958,11.7000,11.8000,10.9000,10.9200,11.6900,16679686,185912773.0000,-6.586800,HL,Down
2008-09-09,sh.601958,11.0000,11.1900,10.7600,11.0500,10.9200,7225098,79478434.0000,1.190500,HH,Up
2008-09-10,sh.601958,10.9200,11.2500,10.6200,10.8300,11.0500,11971544,131256454.0000,-1.991000,LL,Down
2008-09-12,sh.601958,10.4000,10.9200,10.3500,10.5800,10.8300,14610582,155372543.0000,-2.308400,LH,Down
2008-09-16,sh.601958,10.5000,10.5000,9.9600,10.0200,10.5800,18108365,184294712.0000,-5.293000,LL,Down
2008-09-17,sh.601958,10.0500,10.3000,10.0000,10.0900,10.0200,13122260,133174916.0000,0.698600,HH,Up
2008-09-18,sh.601958,9.9800,10.5000,9.6200,10.3600,10.0900,30255404,307079276.0000,2.675900,LH,Up
2008-09-19,sh.601958,11.4000,11.4000,11.1100,11.4000,10.3600,23470362,266742805.0000,10.038600,HS,Up
2008-09-22,sh.601958,12.1000,12.5400,11.6000,12.1000,11.4000,61438651,744915537.0000,6.140400,HS,Up
2008-09-23,sh.601958,11.5800,11.7700,11.2500,11.4200,12.1000,29061224,334049624.0000,-5.619800,LL,Down
2008-09-24,sh.601958,10.9800,11.3500,10.9000,11.3100,11.4200,17329883,192132327.0000,-0.963200,LH,Down
2008-09-25,sh.601958,11.2200,11.9000,11.1600,11.5300,11.3100,25797523,299463510.0000,1.945200,LH,Up
2008-09-26,sh.601958,11.7400,11.9600,11.2800,11.9100,11.5300,24463830,284218938.0000,3.295800,HH,Up
2008-10-06,sh.601958,11.3800,11.5200,10.7200,10.7300,11.9100,18101719,201972110.0000,-9.907600,LL,Down
2008-10-07,sh.601958,10.2000,10.5500,10.0300,10.4100,10.7300,17093820,176005148.0000,-2.982300,LH,Down
2008-10-08,sh.601958,10.0900,10.5700,10.0000,10.2200,10.4100,12600786,129556800.0000,-1.825200,LH,Down
2008-10-09,sh.601958,10.4200,10.4900,10.0000,10.0100,10.2200,11053618,112806384.0000,-2.054800,HL,Down
2008-10-10,sh.601958,9.6000,9.6800,9.0100,9.0100,10.0100,20754421,191168130.0000,-9.990000,LL,Down
2008-10-13,sh.601958,8.8000,9.0900,8.3300,9.0800,9.0100,21156115,183977963.0000,0.776900,LH,Up
2008-10-14,sh.601958,9.5600,9.5600,8.5500,8.5800,9.0800,19562785,179567390.0000,-5.506600,HL,Down
2008-10-15,sh.601958,8.4500,8.4700,8.1600,8.3800,8.5800,12028764,99868140.0000,-2.331000,LL,Down
