date,code,open,high,low,close,preclose,volume,amount,pctChg,label,UpOrDown
2017-01-05,sz.002818,60.2800,60.3800,58.6500,58.7000,60.2800,2808040,167114040.0000,-2.621098,SL,Down
2017-01-06,sz.002818,58.7000,58.7500,55.2600,55.3900,58.7000,4298402,243783864.0000,-5.638844,SL,Down
2017-01-09,sz.002818,54.8000,55.8700,54.5500,54.9300,55.3900,2270179,125113485.0000,-0.830473,LH,Down
2017-01-10,sz.002818,54.8600,55.8000,54.6500,54.9000,54.9300,1889601,104395269.0000,-0.054613,LH,Down
2017-01-11,sz.002818,54.6600,54.9300,52.0600,52.1000,54.9000,3326107,177000401.0000,-5.100188,LL,Down
2017-01-12,sz.002818,52.0600,52.9500,50.1100,50.5000,52.1000,3125284,160795370.0000,-3.071014,LL,Down
2017-01-13,sz.002818,50.5000,50.7800,48.3600,48.6800,50.5000,3547943,175120756.0000,-3.603960,SL,Down
2017-01-16,sz.002818,47.6700,48.3500,43.9200,45.7000,48.6800,3748761,174413933.0000,-6.121609,LL,Down
2017-01-17,sz.002818,45.3000,48.3600,43.7600,47.5900,45.7000,4853044,224693266.0000,4.135666,LH,Up
2017-01-18,sz.002818,47.0000,47.1900,45.8000,45.8000,47.5900,2545368,118346002.0000,-3.761296,LL,Down
2017-01-19,sz.002818,45.3000,47.4500,44.5600,46.3700,45.8000,3178094,147125690.0000,1.244541,LH,Up
2017-01-20,sz.002818,46.3500,48.2200,46.0700,47.7000,46.3700,3814794,181031920.0000,2.868238,LH,Up
2017-01-23,sz.002818,47.6200,48.6900,47.5100,47.5600,47.7000,2920821,140221766.0000,-0.293500,LL,Down
2017-01-24,sz.002818,47.7000,47.7100,46.1500,46.3300,47.5600,2294145,107339023.0000,-2.586206,HL,Down
2017-01-25,sz.002818,46.0800,47.7000,46.0500,47.4600,46.3300,2123765,100062402.0000,2.439018,LH,Up
2017-01-26,sz.002818,47.4600,47.9100,47.2200,47.8000,47.4600,1794560,85377500.0000,0.716393,SH,Up
2017-02-03,sz.002818,47.9100,48.0700,47.1200,47.6300,47.8000,1546631,73629209.0000,-0.355645,HL,Down
2017-02-06,sz.002818,47.4000,49.2900,47.4000,49.1500,47.6300,2915011,141910081.0000,3.191267,LH,Up
2017-02-07,sz.002818,49.2300,49.2300,48.1000,48.6100,49.1500,2305682,112123279.0000,-1.098679,HL,Down
2017-02-08,sz.002818,48.5900,49.6900,48.1100,49.4600,48.6100,2671259,131031510.0000,1.748608,LH,Up
2017-02-09,sz.002818,49.2800,50.9100,49.1300,49.8300,49.4600,3159571,158341978.0000,0.748085,LH,Up
2017-02-10,sz.002818,49.7400,49.8900,48.5800,48.6900,49.8300,2684884,131842632.0000,-2.287785,LL,Down
2017-02-13,sz.002818,48.2500,49.9500,48.2100,49.6200,48.6900,2415844,119354387.0000,1.910044,LH,Up
2017-02-14,sz.002818,49.7800,49.8100,49.1900,49.6200,49.6200,2015918,99793376.0000,0.000000,HL,Smooth
2017-02-15,sz.002818,49.3500,51.2800,49.2300,49.9200,49.6200,4399650,221598568.0000,0.604593,LH,Up
2017-02-16,sz.002818,49.5100,50.8800,49.1100,50.6000,49.9200,3132625,156536406.0000,1.362180,LH,Up
2017-02-17,sz.002818,50.5000,55.3200,50.3000,51.9500,50.6000,6559933,345575248.0000,2.667989,LH,Up
2017-02-20,sz.002818,51.9500,53.4400,51.1000,52.9000,51.9500,4083424,214123219.0000,1.828683,SH,Up
